vod,rr5,rr4,rr3,rr2,rr1,br5,br4,br3,br2,br1,rp5,bp4,bp5,rp4,bb5,rb5,bb4,rb4,rp3,bp2,bp3,rp1,rp2,bp1,rb3,bb3,rb2,bb2,rb1,bb1,patch,winner,score,red,blue,phase,region
,mid,top,bot,support,jungle,mid,top,support,jungle,bot,taliyah,kennen,lissandra,gnar,sylas,ornn,fiora,azir,senna,trundle,lulu,wukong,tahmkench,aphelios,zeri,nautilus,lucian,poppy,yuumi,renata glasc,12.15,2,2 - 3,Top Esports,EDward Gaming,Round 4,CN
,jungle,top,mid,support,bot,mid,top,jungle,bot,support,xin zhao,gnar,sylas,renekton,ornn,leblanc,jarvan iv,ahri,azir,sivir,sejuani,zeri,lulu,yuumi,trundle,wukong,renata glasc,vi,poppy,lucian,12.15,1,2 - 2,EDward Gaming,Top Esports,Round 4,CN
,top,mid,support,bot,jungle,mid,top,support,bot,jungle,gwen,ornn,swain,lissandra,gnar,taliyah,fiora,sylas,lulu,lucian,nami,wukong,zeri,vi,renekton,renata glasc,azir,poppy,yuumi,trundle,12.15,1,2 - 1,Top Esports,EDward Gaming,Round 4,CN
,top,jungle,support,mid,bot,mid,top,support,bot,jungle,jax,renekton,akali,sejuani,lee sin,taliyah,viego,ahri,rakan,zeri,braum,draven,sylas,wukong,renata glasc,yuumi,trundle,vi,poppy,azir,12.15,1,1 - 1,EDward Gaming,Top Esports,Round 4,CN
,top,mid,bot,jungle,support,mid,top,jungle,support,bot,kennen,gnar,ahri,lissandra,renekton,sylas,azir,ornn,sivir,nami,xinzhao,yuumi,wukong,lucian,trundle,renata glasc,vi,zeri,poppy,nautilus,12.15,2,0 - 1,EDward Gaming,Top Esports,Round 4,CN
https://youtu.be/iJtIKs_kB_E?t=17653,mid,top,jungle,support,bot,mid,top,support,jungle,bot,taliyah,fiora,lissandra,gnar,kennen,akali,sylas,jax,vi,wukong,yuumi,lucian,nami,zeri,nocturne,renekton,sejuani,kalista,poppy,ahri,12.15,1,3 - 2,Victory Five,LNG Esports,Round 3,CN
https://youtu.be/iJtIKs_kB_E?t=14244,jungle,top,mid,support,bot,mid,jungle,top,support,bot,nocturne,xin zhao,ryze,kennen,wukong,trundle,vi,akali,sylas,yuumi,gnar,lucian,nami,zeri,jax,renekton,sejuani,kalista,poppy,ahri,12.15,2,2 - 2,Victory Five,LNG Esports,Round 3,CN
https://youtu.be/iJtIKs_kB_E?t=11344,top,jungle,mid,support,bot,top,mid,support,jungle,bot,gragas,akali,gnar,bel'veth,xin zhao,nocturne,vi,sylas,lissandra,wukong,lulu,sivir,yuumi,zeri,trundle,renekton,sejuani,kalista,poppy,ahri,12.15,1,2 - 1,Victory Five,LNG Esports,Round 3,CN
https://youtu.be/iJtIKs_kB_E?t=8073,top,jungle,mid,support,bot,mid,top,support,jungle,bot,ornn,kennen,yone,xin zhao,malphite,nocturne,vi,sylas,lissandra,wukong,lulu,sivir,yuumi,zeri,trundle,renekton,sejuani,kalista,poppy,ahri,12.15,2,1 - 1,Victory Five,LNG Esports,Round 3,CN
https://youtu.be/iJtIKs_kB_E?t=4559,top,jungle,mid,support,bot,mid,top,support,jungle,bot,ornn,kennen,nocturne,xin zhao,malphite,jax,vi,sylas,lissandra,wukong,lulu,sivir,yuumi,zeri,trundle,renekton,sejuani,kalista,poppy,ahri,12.15,1,1 - 0,Victory Five,LNG Esports,Round 3,CN
